"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U2";"SOT23-6";1;"CH217K(SOT23-6L)";;;
2;"MH2,MH1";"Mounting_Hole_Drill-3.3mm_Clerance-7mm";2;"Mounting_Hole_NPTH";;;
3;"R5,R1,R2,R4";"R_0402_5MIL_DWS";4;"5.1k/1%/R0402";;;
4;"R3";"R_0402_5MIL_DWS";1;"30.1k/1%/R0402";;;
5;"C4";"C_0402_5MIL_DWS";1;"100nF/10V/10%/X7R/C0402";;;
6;"FID4,FID3";"Fiducial1x3_Paste";2;"Fiducial";;;
7;"USB_HOST1,USB_HOST2";"USB_TWO_LEVEL";2;"USBB1-FRWH-4A(USB-Ax2)";;;
8;"U1";"SSOP28";1;"CH334S(SSOP-28)";;;
9;"USB1";"USB2.0_TYPE-C(A40-00119-A52-12)_Paste";1;"USB-C-16P-F(A40-00119-A52-12)";;;
10;"FID2,FID1";"Fiducial1x3";2;"Fiducial";;;
11;"PWR_OUT1,PWR_IN1";"LED_0603_KA";2;"LED/GREEN/0603";;;
12;"C7,C8";"C_0805_5MIL_DWS";2;"NA(47uF/6.3V/20%/X5R/C0805)";;;
13;"C3";"C_0603_5MIL_DWS";1;"10uF/6.3V/20%/X5R/C0603";;;
14;"C5,C6";"C_0402_5MIL_DWS";2;"NA(27pF/50V/5%/C0G/C0402)";;;
15;"Q1";"TSX-3.2x2.5mm_GND(3)";1;"Q12MHz/20pF/10ppm/4P/3.2x2.5mm";;;
16;"C1,C9,C10";"C_0805_5MIL_DWS";3;"47uF/6.3V/20%/X5R/C0805";;;
17;"C2";"C_0603_5MIL_DWS";1;"1uF/10V/20%/X5R/C0603";;;
18;"Sign_RoHS_1";"Sign_RoHS_1";1;"Sign_RoHS_1";;;
19;"Sign_RecycleBin_1";"Sign_RecycleBin_1";1;"Sign_RecycleBin_1";;;
20;"Logo_OLIMEX_TB";"Logo_OLIMEX_TB";1;"Logo_OLIMEX_TB";;;
21;"Sign_CE";"CE_Sign";1;"CE_Sign";;;
22;"Sign_Antistatic";"Sign_Antistatic";1;"Sign_Antistatic";;;
23;"Sign_PB-Free";"Sign_PB-Free";1;"Sign_PB-Free";;;
